course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BTech,1,2021-22,KMC-101,Artificial Intelligence For Engineers,https://ryzenstudy.com/papers/aktu-btech-sem-1-artificial-intelligence-for-engineers-2021-22,https://ryzenstudy.com/uploads/1774894566637-ARTIFICIAL_INTELLIGENCE_FOR_ENGINEERS_KMC_101.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KMC-101__artificial-intelligence-for-engineers.pdf,BTech__Sem01__2021-22__KMC-101__artificial-intelligence-for-engineers.pdf,OK,2026-09-07 08:16:07
BTech,1,2021-22,KEE-101T,Basic Of Electrical Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-1-basic-of-electrical-engineering-2021-22,https://ryzenstudy.com/uploads/1774894566558-BASIC_OF_ELECTRICAL_ENGINEERING_KEE_101T.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KEE-101T__basic-of-electrical-engineering.pdf,BTech__Sem01__2021-22__KEE-101T__basic-of-electrical-engineering.pdf,OK,2026-09-07 08:16:12
BTech,1,2021-22,KEC-101T,Emerging Domain In Electronics Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-1-emerging-domain-in-electronics-engineering-2021-22,https://ryzenstudy.com/uploads/1774894566732-EMERGING_DOMAIN_IN_ELECTRONICS_ENGINEERING_KEC_101T.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KEC-101T__emerging-domain-in-electronics-engineering.pdf,BTech__Sem01__2021-22__KEC-101T__emerging-domain-in-electronics-engineering.pdf,OK,2026-09-07 08:16:15
BTech,1,2021-22,KMC-102,Emerging Technology For Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-1-emerging-technology-for-engineering-2021-22,https://ryzenstudy.com/uploads/1774894567225-EMERGING_TECHNOLOGY_FOR_ENGINEERING_KMC_102.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KMC-102__emerging-technology-for-engineering.pdf,BTech__Sem01__2021-22__KMC-102__emerging-technology-for-engineering.pdf,OK,2026-09-07 08:16:19
BTech,1,2021-22,KAS-102T,Engineering Chemistry,https://ryzenstudy.com/papers/aktu-btech-sem-1-engineering-chemistry-2021-22,https://ryzenstudy.com/uploads/1774894567084-ENGINEERING_CHEMISTRY_KAS_102T.pdf,BTech\Sem-01\2021-22\BTech__Sem01__2021-22__KAS-102T__engineering-chemistry.pdf,BTech__Sem01__2021-22__KAS-102T__engineering-chemistry.pdf,OK,2026-09-07 08:16:23
