course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BTech,2,2021-22,KAS201T,Engineering Physics,https://ryzenstudy.com/papers/aktu-btech-sem-2-engineering-physics-2021-22,https://ryzenstudy.com/uploads/1774894998738-ENGINEERING_PHYSICS_KAS201T.pdf,BTech\Sem-02\2021-22\BTech__Sem02__2021-22__KAS201T__engineering-physics.pdf,BTech__Sem02__2021-22__KAS201T__engineering-physics.pdf,OK,2026-09-07 08:45:43
BTech,2,2022-23,BAS201,Engineering Physics,https://ryzenstudy.com/papers/aktu-btech-sem-2-engineering-physics-2022-23,https://ryzenstudy.com/uploads/1774895022660-ENGINEERING_PHYSICS_BAS201.pdf,BTech\Sem-02\2022-23\BTech__Sem02__2022-23__BAS201__engineering-physics.pdf,BTech__Sem02__2022-23__BAS201__engineering-physics.pdf,OK,2026-09-07 08:45:46
BTech,2,2023-24,BAS201,Engineering Physics,https://ryzenstudy.com/papers/aktu-btech-sem-2-engineering-physics-2023-24,https://ryzenstudy.com/uploads/1774895078628-BAS201_ENGINEERING_PHYSICS.pdf,BTech\Sem-02\2023-24\BTech__Sem02__2023-24__BAS201__engineering-physics.pdf,BTech__Sem02__2023-24__BAS201__engineering-physics.pdf,OK,2026-09-07 08:45:49
BTech,2,2024-25,BAS201,Engineering Physics,https://ryzenstudy.com/papers/aktu-btech-sem-2-engineering-physics-2024-25,https://ryzenstudy.com/uploads/1774895101994-BAS201_ENGINEERING_PHYSICS__1_.pdf,BTech\Sem-02\2024-25\BTech__Sem02__2024-25__BAS201__engineering-physics.pdf,BTech__Sem02__2024-25__BAS201__engineering-physics.pdf,OK,2026-09-07 08:45:52
BTech,2,2022-23,BAS204,Environment And Ecology,https://ryzenstudy.com/papers/aktu-btech-sem-2-environment-and-ecology-2022-23,https://ryzenstudy.com/uploads/1774895022276-ENVIRONMENT_AND_ECOLOGY_BAS204.pdf,BTech\Sem-02\2022-23\BTech__Sem02__2022-23__BAS204__environment-and-ecology.pdf,BTech__Sem02__2022-23__BAS204__environment-and-ecology.pdf,OK,2026-09-07 08:45:56
BTech,2,2023-24,BAS204,Environment And Ecology,https://ryzenstudy.com/papers/aktu-btech-sem-2-environment-and-ecology-2023-24,https://ryzenstudy.com/uploads/1774895078121-BAS204_ENVIRONMENT_AND_ECOLOGY.pdf,BTech\Sem-02\2023-24\BTech__Sem02__2023-24__BAS204__environment-and-ecology.pdf,BTech__Sem02__2023-24__BAS204__environment-and-ecology.pdf,OK,2026-09-07 08:46:00
BTech,2,2024-25,BAS204,Environment And Ecology,https://ryzenstudy.com/papers/aktu-btech-sem-2-environment-and-ecology-2024-25,https://ryzenstudy.com/uploads/1774895101485-BAS204_ENVIRONMENT_AND_ECOLOGY.pdf,BTech\Sem-02\2024-25\BTech__Sem02__2024-25__BAS204__environment-and-ecology.pdf,BTech__Sem02__2024-25__BAS204__environment-and-ecology.pdf,OK,2026-09-07 08:46:03
BTech,2,2023-24,BME201,Fundamentals Mechanical Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-mechanical-engineering-2023-24,https://ryzenstudy.com/uploads/1774895078450-BME201_FUNDAMENTALS_MECHANICAL_ENGINEERING.pdf,BTech\Sem-02\2023-24\BTech__Sem02__2023-24__BME201__fundamentals-mechanical-engineering.pdf,BTech__Sem02__2023-24__BME201__fundamentals-mechanical-engineering.pdf,OK,2026-09-07 08:46:06
BTech,2,2022-23,BEE201,Fundamentals Of Electrical Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-electrical-engineering-2022-23,https://ryzenstudy.com/uploads/1774895022789-FUNDAMENTALS_OF_ELECTRICAL_ENGINEERING_BEE201.pdf,BTech\Sem-02\2022-23\BTech__Sem02__2022-23__BEE201__fundamentals-of-electrical-engineering.pdf,BTech__Sem02__2022-23__BEE201__fundamentals-of-electrical-engineering.pdf,OK,2026-09-07 08:46:10
BTech,2,2023-24,BEE201,Fundamentals Of Electrical Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-electrical-engineering-2023-24,https://ryzenstudy.com/uploads/1774895078210-BEE201_FUNDAMENTALS_OF_ELECTRICAL_ENGINEERING.pdf,BTech\Sem-02\2023-24\BTech__Sem02__2023-24__BEE201__fundamentals-of-electrical-engineering.pdf,BTech__Sem02__2023-24__BEE201__fundamentals-of-electrical-engineering.pdf,OK,2026-09-07 08:46:14
BTech,2,2024-25,BEE201,Fundamentals Of Electrical Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-electrical-engineering-2024-25,https://ryzenstudy.com/uploads/1774895101566-BEE201_FUNDAMENTALS_OF_ELECTRICAL_ENGINEERING.pdf,BTech\Sem-02\2024-25\BTech__Sem02__2024-25__BEE201__fundamentals-of-electrical-engineering.pdf,BTech__Sem02__2024-25__BEE201__fundamentals-of-electrical-engineering.pdf,OK,2026-09-07 08:46:17
BTech,2,2022-23,BEC201,Fundamentals Of Electronics Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-electronics-engineering-2022-23,https://ryzenstudy.com/uploads/1774895022528-FUNDAMENTALS_OF_ELECTRONICS_ENGINEERING_BEC201.pdf,BTech\Sem-02\2022-23\BTech__Sem02__2022-23__BEC201__fundamentals-of-electronics-engineering.pdf,BTech__Sem02__2022-23__BEC201__fundamentals-of-electronics-engineering.pdf,OK,2026-09-07 08:46:20
BTech,2,2023-24,BEC201,Fundamentals Of Electronics Engineering,https://ryzenstudy.com/papers/aktu-btech-sem-2-fundamentals-of-electronics-engineering-2023-24,https://ryzenstudy.com/uploads/1774895078544-BEC201_FUNDAMENTALS_OF_ELECTRONICS_ENGINEERING.pdf,BTech\Sem-02\2023-24\BTech__Sem02__2023-24__BEC201__fundamentals-of-electronics-engineering.pdf,BTech__Sem02__2023-24__BEC201__fundamentals-of-electronics-engineering.pdf,OK,2026-09-07 08:46:23
